k1	b	k3	MAP
1.6	0.65	600	0.645453
1.6	0.65	700	0.645453
1.6	0.65	800	0.645453
1.6	0.7	200	0.649592
1.6	0.7	300	0.649592
1.6	0.7	400	0.649592
1.6	0.7	500	0.649592
1.6	0.7	600	0.649592
1.6	0.7	700	0.649592
1.6	0.7	800	0.649592
1.6	0.75	200	0.647136
1.6	0.75	300	0.647136
1.6	0.75	400	0.647136
1.6	0.75	500	0.647136
1.6	0.75	600	0.647136
1.6	0.75	700	0.647136
1.6	0.75	800	0.647136
1.6	0.8	200	0.647444
1.6	0.8	300	0.647444
1.6	0.8	400	0.647444
1.6	0.8	500	0.647444
1.6	0.8	600	0.647444
1.6	0.8	700	0.647444
1.6	0.8	800	0.647444
1.6	0.85	200	0.651906
1.6	0.85	300	0.651906
1.6	0.85	400	0.651906
1.6	0.85	500	0.651906
1.6	0.85	600	0.651906
1.6	0.85	700	0.651906
1.6	0.85	800	0.651906
1.6	0.9	200	0.652809
1.6	0.9	300	0.652809
1.6	0.9	400	0.652809
1.6	0.9	500	0.652809
1.6	0.9	600	0.652809
1.6	0.9	700	0.652809
1.6	0.9	800	0.652809
1.6	0.95	200	0.653251
1.6	0.95	300	0.653251
1.6	0.95	400	0.653251
1.6	0.95	500	0.653251
1.6	0.95	600	0.653251
1.6	0.95	700	0.653251
1.6	0.95	800	0.653251
1.6	1	200	0.646045
1.6	1	300	0.646045
1.6	1	400	0.646045
1.6	1	500	0.646045
1.6	1	600	0.646045
1.6	1	700	0.646045
1.6	1	800	0.646045
1.6	1.5	200	0.456064
1.6	1.5	300	0.456064
1.6	1.5	400	0.456064
1.6	1.5	500	0.456064
1.6	1.5	600	0.456064
1.6	1.5	700	0.456064
1.6	1.5	800	0.456064
1.6	2	200	0.153664
1.6	2	300	0.153664
1.6	2	400	0.153664
1.6	2	500	0.153664
1.6	2	600	0.153664
1.6	2	700	0.153664
1.6	2	800	0.153664
1.6	3	200	0.0864471
1.6	3	300	0.0864471
1.6	3	400	0.0864471
1.6	3	500	0.0864471
1.6	3	600	0.0864471
1.6	3	700	0.0864471
1.6	3	800	0.0864471
1.7	0.6	200	0.640048
1.7	0.6	300	0.640048
1.7	0.6	400	0.640048
1.7	0.6	500	0.640048
1.7	0.6	600	0.640048
1.7	0.6	700	0.640048
1.7	0.6	800	0.640048
1.7	0.65	200	0.645542
1.7	0.65	300	0.645542
1.7	0.65	400	0.645542
1.7	0.65	500	0.645542
1.7	0.65	600	0.645542
1.7	0.65	700	0.645542
1.7	0.65	800	0.645542
1.7	0.7	200	0.648193
1.7	0.7	300	0.648193
1.7	0.7	400	0.648193
1.7	0.7	500	0.648193
1.7	0.7	600	0.648193
1.7	0.7	700	0.648193
1.7	0.7	800	0.648193
1.7	0.75	200	0.648583
1.7	0.75	300	0.648583
1.7	0.75	400	0.648583
1.7	0.75	500	0.648583
1.7	0.75	600	0.648583
1.7	0.75	700	0.648583
1.7	0.75	800	0.648583
1.7	0.8	200	0.648377
1.7	0.8	300	0.648377
