s	mu	alpha	lambda	MAP
0.4	2000	0.1	0.6	0.648577
0.4	5000	0.1	0.6	0.624252
0.4	10000	0.1	0.6	0.592724
0.1	100	0.1	0.7	0.472159
0.1	500	0.1	0.7	0.510077
0.1	1000	0.1	0.7	0.528799
0.1	2000	0.1	0.7	0.543481
0.1	5000	0.1	0.7	0.545613
0.1	10000	0.1	0.7	0.526415
0.15	100	0.1	0.7	0.520696
0.15	500	0.1	0.7	0.543129
0.15	1000	0.1	0.7	0.561466
0.15	2000	0.1	0.7	0.573543
0.15	5000	0.1	0.7	0.568924
0.15	10000	0.1	0.7	0.547605
0.2	100	0.1	0.7	0.552334
0.2	500	0.1	0.7	0.575828
0.2	1000	0.1	0.7	0.592403
0.2	2000	0.1	0.7	0.602486
0.2	5000	0.1	0.7	0.588622
0.2	10000	0.1	0.7	0.559094
0.25	100	0.1	0.7	0.577639
0.25	500	0.1	0.7	0.599219
0.25	1000	0.1	0.7	0.611274
0.25	2000	0.1	0.7	0.623699
0.25	5000	0.1	0.7	0.600483
0.25	10000	0.1	0.7	0.570132
0.3	100	0.1	0.7	0.591104
0.3	500	0.1	0.7	0.616166
0.3	1000	0.1	0.7	0.627964
0.3	2000	0.1	0.7	0.638072
0.3	5000	0.1	0.7	0.609764
0.3	10000	0.1	0.7	0.581005
0.35	100	0.1	0.7	0.606362
0.35	500	0.1	0.7	0.63959
0.35	1000	0.1	0.7	0.650859
0.35	2000	0.1	0.7	0.649345
0.35	5000	0.1	0.7	0.624836
0.35	10000	0.1	0.7	0.59419
0.4	100	0.1	0.7	0.60952
0.4	500	0.1	0.7	0.649527
0.4	1000	0.1	0.7	0.658557
0.4	2000	0.1	0.7	0.657538
0.4	5000	0.1	0.7	0.634037
0.4	10000	0.1	0.7	0.601898
0.1	100	0.1	0.8	0.485696
0.1	500	0.1	0.8	0.519407
0.1	1000	0.1	0.8	0.537565
0.1	2000	0.1	0.8	0.554362
0.1	5000	0.1	0.8	0.551523
0.1	10000	0.1	0.8	0.531585
0.15	100	0.1	0.8	0.538041
0.15	500	0.1	0.8	0.558158
0.15	1000	0.1	0.8	0.571374
0.15	2000	0.1	0.8	0.582248
0.15	5000	0.1	0.8	0.582756
0.15	10000	0.1	0.8	0.553537
0.2	100	0.1	0.8	0.565173
0.2	500	0.1	0.8	0.591952
0.2	1000	0.1	0.8	0.607241
0.2	2000	0.1	0.8	0.617098
0.2	5000	0.1	0.8	0.597274
0.2	10000	0.1	0.8	0.564367
0.25	100	0.1	0.8	0.585173
0.25	500	0.1	0.8	0.610533
0.25	1000	0.1	0.8	0.623179
0.25	2000	0.1	0.8	0.63047
0.25	5000	0.1	0.8	0.608446
0.25	10000	0.1	0.8	0.576434
0.3	100	0.1	0.8	0.603239
0.3	500	0.1	0.8	0.633719
0.3	1000	0.1	0.8	0.651643
0.3	2000	0.1	0.8	0.648818
0.3	5000	0.1	0.8	0.624694
0.3	10000	0.1	0.8	0.595215
0.35	100	0.1	0.8	0.607708
0.35	500	0.1	0.8	0.650477
0.35	1000	0.1	0.8	0.65825
0.35	2000	0.1	0.8	0.657864
0.35	5000	0.1	0.8	0.634255
0.35	10000	0.1	0.8	0.60012
0.4	100	0.1	0.8	0.604761
0.4	500	0.1	0.8	0.653941
0.4	1000	0.1	0.8	0.656583
0.4	2000	0.1	0.8	0.653463
0.4	5000	0.1	0.8	0.633059
0.4	10000	0.1	0.8	0.605986
0.1	100	0.1	0.9	0.50354
0.1	500	0.1	0.9	0.528883
0.1	1000	0.1	0.9	0.549043
0.1	2000	0.1	0.9	0.564593
0.1	5000	0.1	0.9	0.559304
0.1	10000	0.1	0.9	0.540428
0.15	100	0.1	0.9	0.551305
0.15	500	0.1	0.9	0.572825
0.15	1000	0.1	0.9	0.593191
0.15	2000	0.1	0.9	0.601779
0.15	5000	0.1	0.9	0.586968
0.15	10000	0.1	0.9	0.55767
0.2	100	0.1	0.9	0.580019
0.2	500	0.1	0.9	0.601609
0.2	1000	0.1	0.9	0.616111
0.2	2000	0.1	0.9	0.626302
0.2	5000	0.1	0.9	0.605111
0.2	10000	0.1	0.9	0.569373
0.25	100	0.1	0.9	0.595238
0.25	500	0.1	0.9	0.621876
0.25	1000	0.1	0.9	0.641661
0.25	2000	0.1	0.9	0.648038
0.25	5000	0.1	0.9	0.6247
0.25	10000	0.1	0.9	0.588926
0.3	100	0.1	0.9	0.607746
0.3	500	0.1	0.9	0.645003
0.3	1000	0.1	0.9	0.652251
0.3	2000	0.1	0.9	0.657602
0.3	5000	0.1	0.9	0.627486
0.3	10000	0.1	0.9	0.597589
0.35	100	0.1	0.9	0.599058
0.35	500	0.1	0.9	0.655115
0.35	1000	0.1	0.9	0.657063
0.35	2000	0.1	0.9	0.654006
0.35	5000	0.1	0.9	0.63289
0.35	10000	0.1	0.9	0.605775
0.4	100	0.1	0.9	0.585919
0.4	500	0.1	0.9	0.646676
0.4	1000	0.1	0.9	0.65071
0.4	2000	0.1	0.9	0.646668
0.4	5000	0.1	0.9	0.622441
0.4	10000	0.1	0.9	0.595438
0.1	100	0.2	0.1	0.384775
0.1	500	0.2	0.1	0.432641
0.1	1000	0.2	0.1	0.4524
0.1	2000	0.2	0.1	0.476379
0.1	5000	0.2	0.1	0.494728
0.1	10000	0.2	0.1	0.492728
0.15	100	0.2	0.1	0.392634
0.15	500	0.2	0.1	0.439154
0.15	1000	0.2	0.1	0.457458
0.15	2000	0.2	0.1	0.481089
0.15	5000	0.2	0.1	0.503852
0.15	10000	0.2	0.1	0.497706
0.2	100	0.2	0.1	0.406514
0.2	500	0.2	0.1	0.443557
0.2	1000	0.2	0.1	0.464774
0.2	2000	0.2	0.1	0.491757
0.2	5000	0.2	0.1	0.508719
0.2	10000	0.2	0.1	0.502714
0.25	100	0.2	0.1	0.413317
0.25	500	0.2	0.1	0.452324
0.25	1000	0.2	0.1	0.469669
0.25	2000	0.2	0.1	0.495735
0.25	5000	0.2	0.1	0.513882
0.25	10000	0.2	0.1	0.506759
0.3	100	0.2	0.1	0.417141
0.3	500	0.2	0.1	0.459587
0.3	1000	0.2	0.1	0.476593
0.3	2000	0.2	0.1	0.500412
0.3	5000	0.2	0.1	0.517374
0.3	10000	0.2	0.1	0.510021
0.35	100	0.2	0.1	0.423299
0.35	500	0.2	0.1	0.465411
0.35	1000	0.2	0.1	0.486142
0.35	2000	0.2	0.1	0.505258
0.35	5000	0.2	0.1	0.523242
0.35	10000	0.2	0.1	0.513031
0.4	100	0.2	0.1	0.42875
0.4	500	0.2	0.1	0.470004
0.4	1000	0.2	0.1	0.493602
0.4	2000	0.2	0.1	0.509739
0.4	5000	0.2	0.1	0.526119
0.4	10000	0.2	0.1	0.516898
0.1	100	0.2	0.2	0.41035
0.1	500	0.2	0.2	0.448669
0.1	1000	0.2	0.2	0.470516
0.1	2000	0.2	0.2	0.496881
0.1	5000	0.2	0.2	0.512898
0.1	10000	0.2	0.2	0.505607
0.15	100	0.2	0.2	0.423627
0.15	500	0.2	0.2	0.464633
0.15	1000	0.2	0.2	0.485555
0.15	2000	0.2	0.2	0.507614
0.15	5000	0.2	0.2	0.523172
0.15	10000	0.2	0.2	0.513098
0.2	100	0.2	0.2	0.434473
0.2	500	0.2	0.2	0.477347
0.2	1000	0.2	0.2	0.502836
0.2	2000	0.2	0.2	0.518537
0.2	5000	0.2	0.2	0.531624
0.2	10000	0.2	0.2	0.521521
0.25	100	0.2	0.2	0.447158
0.25	500	0.2	0.2	0.493409
0.25	1000	0.2	0.2	0.513315
0.25	2000	0.2	0.2	0.530441
0.25	5000	0.2	0.2	0.540411
0.25	10000	0.2	0.2	0.52883
0.3	100	0.2	0.2	0.466643
0.3	500	0.2	0.2	0.503806
0.3	1000	0.2	0.2	0.521653
0.3	2000	0.2	0.2	0.542093
0.3	5000	0.2	0.2	0.550311
0.3	10000	0.2	0.2	0.539885
0.35	100	0.2	0.2	0.478828
0.35	500	0.2	0.2	0.510417
0.35	1000	0.2	0.2	0.531288
0.35	2000	0.2	0.2	0.551224
0.35	5000	0.2	0.2	0.558073
0.35	10000	0.2	0.2	0.548429
0.4	100	0.2	0.2	0.492961
0.4	500	0.2	0.2	0.521236
0.4	1000	0.2	0.2	0.542086
0.4	2000	0.2	0.2	0.560186
0.4	5000	0.2	0.2	0.565462
0.4	10000	0.2	0.2	0.55498
0.1	100	0.2	0.3	0.42478
0.1	500	0.2	0.3	0.466475
0.1	1000	0.2	0.3	0.493551
0.1	2000	0.2	0.3	0.511044
0.1	5000	0.2	0.3	0.527506
0.1	10000	0.2	0.3	0.516008
0.15	100	0.2	0.3	0.443574
0.15	500	0.2	0.3	0.490544
0.15	1000	0.2	0.3	0.51077
0.15	2000	0.2	0.3	0.528431
0.15	5000	0.2	0.3	0.54376
0.15	10000	0.2	0.3	0.53111
0.2	100	0.2	0.3	0.471759
0.2	500	0.2	0.3	0.504979
0.2	1000	0.2	0.3	0.526113
0.2	2000	0.2	0.3	0.5471
0.2	5000	0.2	0.3	0.554447
0.2	10000	0.2	0.3	0.544537
0.25	100	0.2	0.3	0.489901
0.25	500	0.2	0.3	0.520956
0.25	1000	0.2	0.3	0.540786
0.25	2000	0.2	0.3	0.55986
0.25	5000	0.2	0.3	0.565414
0.25	10000	0.2	0.3	0.555258
