s	mu	alpha	lambda	MAP
0.15	2000	0.2	0.2	0.45398
0.15	5000	0.2	0.2	0.446431
0.2	500	0.2	0.2	0.43501
0.2	1000	0.2	0.2	0.454616
0.2	2000	0.2	0.2	0.46489
0.2	5000	0.2	0.2	0.451638
0.25	500	0.2	0.2	0.439755
0.25	1000	0.2	0.2	0.462416
0.25	2000	0.2	0.2	0.471912
0.25	5000	0.2	0.2	0.459254
0.3	500	0.2	0.2	0.446784
0.3	1000	0.2	0.2	0.470789
0.3	2000	0.2	0.2	0.476918
0.3	5000	0.2	0.2	0.463645
0.35	500	0.2	0.2	0.451595
0.35	1000	0.2	0.2	0.475623
0.35	2000	0.2	0.2	0.481276
0.35	5000	0.2	0.2	0.467047
0.4	500	0.2	0.2	0.456919
0.4	1000	0.2	0.2	0.479792
0.4	2000	0.2	0.2	0.486066
0.4	5000	0.2	0.2	0.47146
0.1	500	0.2	0.3	0.43222
0.1	1000	0.2	0.3	0.450995
0.1	2000	0.2	0.3	0.459901
0.1	5000	0.2	0.3	0.449304
0.15	500	0.2	0.3	0.441423
0.15	1000	0.2	0.3	0.46357
0.15	2000	0.2	0.3	0.472305
0.15	5000	0.2	0.3	0.460408
0.2	500	0.2	0.3	0.451351
0.2	1000	0.2	0.3	0.476646
0.2	2000	0.2	0.3	0.481098
0.2	5000	0.2	0.3	0.467295
0.25	500	0.2	0.3	0.459359
0.25	1000	0.2	0.3	0.48359
0.25	2000	0.2	0.3	0.488581
0.25	5000	0.2	0.3	0.474265
0.3	500	0.2	0.3	0.469968
0.3	1000	0.2	0.3	0.495251
0.3	2000	0.2	0.3	0.49669
0.3	5000	0.2	0.3	0.477615
0.35	500	0.2	0.3	0.480979
0.35	1000	0.2	0.3	0.50618
0.35	2000	0.2	0.3	0.504729
0.35	5000	0.2	0.3	0.482224
0.4	500	0.2	0.3	0.489391
0.4	1000	0.2	0.3	0.516014
0.4	2000	0.2	0.3	0.516977
0.4	5000	0.2	0.3	0.485513
0.1	500	0.2	0.4	0.441019
0.1	1000	0.2	0.4	0.461891
0.1	2000	0.2	0.4	0.470198
0.1	5000	0.2	0.4	0.455908
0.15	500	0.2	0.4	0.454622
0.15	1000	0.2	0.4	0.478631
0.15	2000	0.2	0.4	0.482762
0.15	5000	0.2	0.4	0.4681
0.2	500	0.2	0.4	0.469866
0.2	1000	0.2	0.4	0.495743
0.2	2000	0.2	0.4	0.496768
0.2	5000	0.2	0.4	0.478507
0.25	500	0.2	0.4	0.486433
0.25	1000	0.2	0.4	0.51355
0.25	2000	0.2	0.4	0.510549
0.25	5000	0.2	0.4	0.482878
0.3	500	0.2	0.4	0.498522
0.3	1000	0.2	0.4	0.524405
0.3	2000	0.2	0.4	0.52434
0.3	5000	0.2	0.4	0.491364
0.35	500	0.2	0.4	0.515156
